ID,Nome,Endereço,Bairro,Seção,Divisão,Grupo,Classe,Subclasse,Preenchimento,Situação (Ativo/Vago)
,,"AVENIDA SGT HERM├ìNIO SAMPAIO,",PRESIDENTE KENNEDY,,,,,,,
,RC Toldos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1022",MONTE CASTELO,,,,,,"Fabricação de tecidos especiais, inclusive artefatos",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1029",MONTE CASTELO,,,,,,Residência,Ativo
,Elementare Pilates,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1039",MONTE CASTELO,,,,,,Atividades de condicionamento físico,Ativo
,Salão Cabelos Bellos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1047",MONTE CASTELO,,,,,,Cabeleireiros,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1050",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1060",MONTE CASTELO,,,,,,Residência,Ativo
,Lua Nara,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1061",MONTE CASTELO,,,,,,Comércio varejista de artigos do vestuário e acessórios,Ativo
,Sisters Clinic ,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1069",MONTE CASTELO,,,,,,Atividade odontológica,Ativo
,Igreja Universal,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1070",MONTE CASTELO,,,,,,Atividades de organizações religiosas,Ativo
,Centro comercial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1080",MONTE CASTELO,,,,,,Centro comercial,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1094",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1108",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1122",MONTE CASTELO,,,,,,Residência,Ativo
,Posto SP Soares,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1176",MONTE CASTELO,,,,,,Comércio varejista de combustíveis para veículos automotores,Ativo
,Farmácia Pague Menos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1178",MONTE CASTELO,,,,,,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1178",MONTE CASTELO,,,,,,,
,Farmácia Pague Menos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1220",MONTE CASTELO,,,,,,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1246",MONTE CASTELO,,,,,,Terreno baldio,Vago
,Casa de Carnes Monte Castelo,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1253",MONTE CASTELO,,,,,,Comércio varejista de carnes - açougues,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1255",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1281",MONTE CASTELO,,,,,,Residência,Vago
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1287",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1293",MONTE CASTELO,,,,,,Residência,Vago
,Casa dos Frios e Companhia,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1296",MONTE CASTELO,,,,,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1297",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1298",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1299",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1312",MONTE CASTELO,,,,,,Residência,Ativo
,Casa de Rações Santo Expedito,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1320",MONTE CASTELO,,,,,,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,Ativo
,Gambar,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1326",MONTE CASTELO,,,,,,Bares e outros estabelecimentos especializados em servir bebidas,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1330",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1334",MONTE CASTELO,,,,,,Residência,Ativo
,Fatima Oliveira,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1338",MONTE CASTELO,,,,,,Outras atividades de tratamento de beleza,Ativo
,P e B Lanches,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1346",MONTE CASTELO,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1350",MONTE CASTELO,,,,,,Residência,Ativo
,Stylo e Elegância,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1354",MONTE CASTELO,,,,,,"Aluguel de objetos do vestuário, jóias e acessórios",Ativo
,Borracharia o Louro,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1394",MONTE CASTELO,,,,,,Serviços de borracharia para veículos automotores,Vago
,LF Espetos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1400",MONTE CASTELO,,,,,,Comércio varejista de carnes - açougues,Ativo
,Espaço da Beleza Gold,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1404",MONTE CASTELO,,,,,,Cabeleireiros,Ativo
,Hannah Fashion Boutique,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1410",MONTE CASTELO,,,,,,Comercio varejista de artigos de armarinho,Ativo
,Azila Video Maker,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1416",MONTE CASTELO,,,,,,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1434",MONTE CASTELO,,,,,,Residência,Ativo
,Lava Jato Bob Esponja,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1460",MONTE CASTELO,,,,,,"Serviços de lavagem, lubrificação e polimento de veículos automotores",Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 15",MONTE CASTELO,,,,,,,Ativo
,Posto Jotacar,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1500",MONTE CASTELO,,,,,,Comércio varejista de combustíveis para veículos automotores,Ativo
,Max Veículos Conceito,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1520",MONTE CASTELO,,,,,,"Comércio a varejo de automóveis, camionetas e utilitários usados",Ativo
,A e F Espetinhos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1538",MONTE CASTELO,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1540",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1546",MONTE CASTELO,,,,,,Residência,Ativo
,Ateliê Alina Esteves,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1550",MONTE CASTELO,,,,,,Outras atividades de tratamento de beleza,Ativo
,Val Lanches,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1554",MONTE CASTELO,,,,,,"Lanchonetes, casas de chá, de sucos e similares",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1578",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1582",MONTE CASTELO,,,,,,Residência,Ativo
,Express Motos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1586",MONTE CASTELO,,,,,,Comércio a varejo de peças e acessórios para motocicletas e motonetas,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1588",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1592",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1596",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1600",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1608",MONTE CASTELO,,,,,,Residência,Ativo
,Clínica Climeo,"AVENIDA SGT HERM├ìNIO SAMPAIO, 1628",MONTE CASTELO,,,,,,Atividade médica ambulatorial com recursos para realização de exames complementares,Ativo
